time,wind_speed,rain_mm,gust_proxy,storm_stress,storm_stress_rolling_avg
2020-01-01,14.877589225769043,2.83054,19.340865993499758,13.807162399291993,13.807162399291993
2020-01-02,13.860958099365234,10.327597,18.019245529174807,14.4017720413208,14.104467220306397
2020-01-03,13.35988712310791,31.748089,17.367853260040285,18.239917497634888,15.482950646082562
2020-01-04,11.433924674987793,3.7800844,14.864102077484132,10.932209870815278,14.345265452265739
2020-01-05,14.247004508972168,0.33652163,18.52110586166382,12.74713834106922,14.025640030026437
2020-01-06,14.758912086486816,0.0003052418,19.186585712432862,13.13549280533538,13.877282159244594
2020-01-07,9.606900215148926,6.9298134e-05,12.488970279693604,8.550155051109504,13.11626400093958
2020-01-08,9.152708053588867,0.026854675,11.898520469665527,8.151281102653593,12.495641138653832
2020-01-09,6.761861801147461,3.109508,8.7904203414917,6.6399586343765264,11.845009749289687
2020-01-10,14.95419692993164,0.46762544,19.440456008911134,13.40276035696268,12.000784810056986
2020-01-11,15.99511432647705,0.0068522654,20.793648624420168,14.2370222037239,12.043770790500178
2020-01-12,12.376319885253906,7.589796e-05,16.08921585083008,11.01493987746806,11.705087574114902
2020-01-13,7.426844120025635,1.48496e-05,9.654897356033326,6.609894236742976,10.54208524802571
2020-01-14,5.951504230499268,0.0001039472,7.736955499649048,5.296859554583425,9.978550216402528
2020-01-15,7.430539608001709,0.0024188347,9.659701490402222,6.6136640180763795,9.365202784103243
2020-01-16,8.02735424041748,0.015138342,10.435560512542725,7.1473729424271735,8.766390797812422
2020-01-17,7.786821365356445,0.014732454,10.12286777496338,6.933217506054789,8.60469704330695
2020-01-18,7.407238483428955,0.021998856,9.629410028457642,6.596842021588236,8.449253135200413
2020-01-19,6.605218410491943,0.06044777,8.586783933639527,5.890733939558268,8.374330665718588
2020-01-20,10.352835655212402,0.17345652,13.458686351776123,9.248715037107466,7.958926133733067
2020-01-21,10.754714965820312,0.06908034,13.981129455566407,9.585512387529015,7.493775152113578
2020-01-22,8.331547737121582,0.01410877,10.831012058258057,7.417899240003899,7.134071088367163
2020-01-23,6.332457065582275,0.08290532,8.232194185256958,5.652467852458358,7.038328449938701
2020-01-24,8.256622314453125,0.13195354,10.733609008789063,7.37478456698358,7.246120951178716
2020-01-25,7.596614360809326,0.120212466,9.875598669052124,6.785029273852706,7.2632574767563485
2020-01-26,6.912707805633545,0.15079439,8.986520147323608,6.182468824386596,7.166767064952292
2020-01-27,8.694849967956543,0.0222645,11.303304958343507,7.742869371511042,7.247732251497917
2020-01-28,11.278914451599121,0.34604684,14.662588787078858,10.107443228960037,7.598792372235097
2020-01-29,11.384608268737793,2.8351517,14.79999074935913,10.699331729412078,8.079652151220477
2020-01-30,11.202326774597168,2.0202222,14.563024806976319,10.374115278720856,8.192192175381816
2020-01-31,12.5691499710083,0.6356536,16.33989496231079,11.313674206137657,8.365008357242681
2020-02-01,10.867203712463379,3.0580096,14.127364826202394,10.283413252830506,8.651559758525341
2020-02-02,11.74332332611084,2.1104038,15.266320323944091,10.873638515472411,9.173676824826746
2020-02-03,12.684527397155762,1.1984617,16.48988561630249,11.52892171382904,9.589090539511293
2020-02-04,10.531662940979004,1.9950883,13.691161823272706,9.772197679281234,9.887807380054145
2020-02-05,6.883710861206055,3.390213,8.948824119567872,6.804545257091522,9.950015023324637
2020-02-06,8.395126342773438,5.284443,10.913664245605469,8.528551025390625,10.028583188712597
2020-02-07,12.516181945800781,10.194569,16.271036529541018,13.178315658569336,10.335670431673526
2020-02-08,14.93454647064209,11.362619,19.414910411834718,15.564270238876343,10.822164282619953
2020-02-09,14.91627025604248,0.4086808,19.391151332855227,13.357216690182685,11.120474423766137
2020-02-10,12.5787353515625,0.005228709,16.35235595703125,11.196120204729958,11.108719023625365
2020-02-11,11.713446617126465,0.0036909506,15.227480602264405,10.425705679380336,11.12294826628035
2020-02-12,9.485177993774414,0.00056263484,12.330731391906738,8.44192094142927,10.879776508876034
2020-02-13,9.817621231079102,0.0,12.762907600402832,8.7376828956604,10.600652627059171
2020-02-14,12.903773307800293,0.0,16.774905300140382,11.48435824394226,10.771868683525273
2020-02-15,9.257010459899902,0.00022769386,12.034113597869874,8.238784848085343,10.915292642624657
2020-02-16,6.289005279541016,0.006091636,8.17570686340332,5.598433025996201,10.622280842685214
2020-02-17,6.7234039306640625,0.008437873,8.740425109863281,5.985517072840594,9.903000984112339
2020-02-18,7.527868747711182,0.015552482,9.786229372024536,6.702913681790232,9.016865328403728
2020-02-19,8.829100608825684,0.012343317,11.477830791473389,7.86036820535548,8.467180479921007
2020-02-20,9.263434410095215,0.0029105218,12.04246473312378,8.24503872935893,8.172072332383905
2020-02-21,9.14754581451416,0.0001336464,11.891809558868408,8.141342504199274,7.943636014865798
2020-02-22,8.541679382324219,1.154969e-05,11.104183197021484,7.602096960206609,7.859653616743533
2020-02-23,6.686405181884766,0.017859118,8.692326736450196,5.95447243558243,7.581332570735737
2020-02-24,8.147783279418945,1.8826951,10.592118263244629,7.628066140413284,7.195703360382838
2020-02-25,10.559188842773438,12.387142,13.726945495605468,11.875106506347656,7.559335526209068
2020-02-26,7.859819412231445,3.904625,10.21776523590088,7.776164252758026,7.777108648885251
2020-02-27,7.60529088973999,0.07906093,9.886878156661988,6.784521078392864,7.857009049440478
2020-02-28,7.698474884033203,0.036708213,10.008017349243165,6.858984289653599,7.872616110226817
2020-02-29,7.113384246826172,0.016534206,9.247399520874025,6.334218820920214,7.72000117178329
2020-03-01,7.511013031005859,0.009823836,9.764316940307618,6.686766364825889,7.564173935329985
