time,wind_speed,rain_mm
2019-05-05 19:00:00,13.240162,0.0036860008
2019-05-05 20:00:00,13.27921,0.0037404492
2019-05-05 21:00:00,13.318128,0.002187841
2019-05-05 22:00:00,12.316671,0.0014239117
2019-05-05 23:00:00,12.107059,0.00093387486
2019-05-06 00:00:00,12.195113,0.00070783094
2019-05-06 01:00:00,12.741993,0.00043723822
2019-05-06 02:00:00,12.569865,0.0003233913
2019-05-06 03:00:00,12.848469,0.00022934383
2019-05-06 04:00:00,13.105034,0.00010559716
2019-05-06 05:00:00,13.394251,0.00010559716
2019-05-06 06:00:00,13.804316,0.00032504124
2019-05-06 07:00:00,14.427069,0.0026861276
2019-05-06 08:00:00,14.945657,0.007470999
2019-05-06 09:00:00,15.058397,0.018241908
2019-05-06 10:00:00,14.168715,0.028425435
2019-05-06 11:00:00,13.3623085,0.032438125
2019-05-06 12:00:00,13.238036,0.055653002
2019-05-06 13:00:00,14.382681,0.025798704
2019-05-06 14:00:00,15.343824,0.000296992
2019-05-06 15:00:00,15.833207,5.93984e-05
2019-05-06 16:00:00,16.039972,0.00031679147
2019-05-06 17:00:00,16.529503,0.00022934383
2019-05-06 18:00:00,16.769735,4.9498667e-05
2019-05-06 19:00:00,17.163294,1.814951e-05
2019-05-06 20:00:00,17.426836,0.00012539662
2019-05-06 21:00:00,17.509949,0.00026564286
2019-05-06 22:00:00,17.625963,0.00055108516
2019-05-06 23:00:00,16.97468,0.0007028811
2019-05-07 00:00:00,16.817682,0.0006748318
2019-05-07 01:00:00,17.057522,0.0005246859
2019-05-07 02:00:00,16.823841,0.00030029193
2019-05-07 03:00:00,16.883884,0.00016829546
2019-05-07 04:00:00,17.27381,2.96992e-05
2019-05-07 05:00:00,17.532522,2.4749334e-05
2019-05-07 06:00:00,17.970642,6.5998224e-06
2019-05-07 07:00:00,18.33726,0.00073258026
2019-05-07 08:00:00,18.525126,0.0005032364
2019-05-07 09:00:00,18.66562,0.0031448153
2019-05-07 10:00:00,18.783714,0.0006500825
2019-05-07 11:00:00,18.377506,0.0008464272
2019-05-07 12:00:00,17.97509,6.5998224e-06
2019-05-07 13:00:00,18.494509,0.0
2019-05-07 14:00:00,18.440216,0.0
2019-05-07 15:00:00,18.42112,0.0
2019-05-07 16:00:00,18.564499,0.0
2019-05-07 17:00:00,18.892622,3.2999113e-05
2019-05-07 18:00:00,19.063656,4.6198755e-05
2019-05-07 19:00:00,19.349764,1.6499556e-05
2019-05-07 20:00:00,19.560297,0.00048343698
2019-05-07 21:00:00,19.741074,0.00148496
2019-05-07 22:00:00,19.10074,0.0019436476
2019-05-07 23:00:00,19.026915,0.002303338
2019-05-08 00:00:00,19.215347,0.002557431
2019-05-08 01:00:00,19.611898,0.002930321
2019-05-08 02:00:00,19.531952,0.002824724
2019-05-08 03:00:00,19.200912,0.0022901383
2019-05-08 04:00:00,18.989765,0.0011912679
2019-05-08 05:00:00,18.632868,0.00080352835
2019-05-08 06:00:00,18.19463,0.0004999365
2019-05-08 07:00:00,17.799139,0.000112196976
2019-05-08 08:00:00,17.57471,0.00042238864
2019-05-08 09:00:00,17.617092,0.00014189618
2019-05-08 10:00:00,17.274603,0.0017555527
2019-05-08 11:00:00,17.48911,0.008979058
2019-05-08 12:00:00,17.72688,0.008507171
2019-05-08 13:00:00,18.613785,3.2999112e-06
2019-05-08 14:00:00,19.110352,6.5998224e-06
2019-05-08 15:00:00,19.224394,6.5998224e-06
2019-05-08 16:00:00,19.445356,3.2999113e-05
2019-05-08 17:00:00,19.895542,4.1248888e-05
2019-05-08 18:00:00,20.123655,3.2999113e-05
2019-05-08 19:00:00,20.020689,7.259804e-05
2019-05-08 20:00:00,19.635468,0.00010229724
2019-05-08 21:00:00,19.523254,4.2898846e-05
2019-05-08 22:00:00,18.359259,0.00013529636
2019-05-08 23:00:00,18.483767,0.00027389263
2019-05-09 00:00:00,18.48343,0.00049828656
2019-05-09 01:00:00,19.074245,0.00085302704
2019-05-09 02:00:00,19.373158,0.0012061176
2019-05-09 03:00:00,19.363892,0.00093057496
2019-05-09 04:00:00,19.791609,0.00048838684
2019-05-09 05:00:00,19.203274,0.00019799467
2019-05-09 06:00:00,18.454996,4.9498667e-05
2019-05-09 07:00:00,18.01682,7.094809e-05
2019-05-09 08:00:00,17.999035,7.094809e-05
2019-05-09 09:00:00,18.143135,0.0018116512
2019-05-09 10:00:00,17.914352,0.00481622
2019-05-09 11:00:00,17.86208,0.0002342937
2019-05-09 12:00:00,18.04205,0.0
2019-05-09 13:00:00,18.962492,0.0
2019-05-09 14:00:00,19.284725,0.0
2019-05-09 15:00:00,19.281761,0.0
2019-05-09 16:00:00,19.173796,0.0
2019-05-09 17:00:00,19.1119,0.0
2019-05-09 18:00:00,19.12285,0.0
2019-05-09 19:00:00,19.142775,0.0
2019-05-09 20:00:00,19.078325,0.0
2019-05-09 21:00:00,18.9855,1.3199645e-05
2019-05-09 22:00:00,18.18413,2.96992e-05
2019-05-09 23:00:00,18.460299,0.00010229724
2019-05-10 00:00:00,18.637857,0.0003415408
2019-05-10 01:00:00,19.35562,0.00049828656
2019-05-10 02:00:00,19.363245,0.0005543851
2019-05-10 03:00:00,19.489073,0.0003976393
2019-05-10 04:00:00,19.516373,0.00019634471
2019-05-10 05:00:00,19.402712,8.414773e-05
2019-05-10 06:00:00,19.334679,8.2497776e-05
2019-05-10 07:00:00,19.11943,0.00025739305
2019-05-10 08:00:00,19.045832,0.0001748953
2019-05-10 09:00:00,19.20917,0.00018479502
2019-05-10 10:00:00,19.309942,0.00031679147
2019-05-10 11:00:00,19.782393,0.006009138
2019-05-10 12:00:00,19.454823,1.3199645e-05
2019-05-10 13:00:00,20.1995,0.0
2019-05-10 14:00:00,20.383675,0.0
2019-05-10 15:00:00,20.541113,0.0
2019-05-10 16:00:00,20.434874,0.0
2019-05-10 17:00:00,20.434944,3.2999112e-06
2019-05-10 18:00:00,20.785913,3.2999112e-06
2019-05-10 19:00:00,21.119574,0.0
2019-05-10 20:00:00,21.664654,6.5998225e-05
2019-05-10 21:00:00,21.698181,0.00041248888
2019-05-10 22:00:00,20.342205,0.0011945679
2019-05-10 23:00:00,20.111616,0.0016037568
